               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080917,            0.023736,             0.01897,             0.35144,             0.43396,             0.27754,              0.1101,            0.066789,           0.0098073,           0.0085734,             0.07024,           0.0033067,           0.0033067
                   1,            0.056935,            0.018263,           0.0056218,             0.45732,             0.47944,             0.38945,             0.16232,            0.057817,           0.0092907,           0.0037956,            0.040185,           0.0065852,           0.0065852
                   2,            0.052635,            0.017586,           0.0053549,             0.57596,             0.45792,              0.4452,               0.189,            0.058895,           0.0094697,            0.005822,            0.010075,           0.0098088,           0.0098088
                   3,            0.050908,            0.018038,           0.0053791,             0.57979,             0.31056,             0.33864,             0.13239,            0.063206,            0.012035,           0.0055234,           0.0097525,           0.0097525,           0.0097525
                   4,            0.049188,            0.018492,            0.005153,             0.44445,             0.37778,             0.35319,             0.15206,            0.062085,            0.010592,            0.011002,           0.0097525,           0.0097525,           0.0097525
                   5,            0.047949,            0.017942,           0.0045389,             0.51857,             0.28089,             0.37366,             0.14412,            0.064175,            0.010025,            0.020345,             0.00967,             0.00967,             0.00967
                   6,            0.045422,            0.017157,             0.00422,             0.66866,               0.435,             0.49007,             0.21296,            0.059387,           0.0095342,           0.0041148,           0.0095875,           0.0095875,           0.0095875
                   7,             0.04503,            0.017246,             0.00384,             0.47503,             0.46333,             0.45934,             0.22316,            0.056114,           0.0094585,           0.0033092,            0.009505,            0.009505,            0.009505
                   8,            0.043877,            0.016722,           0.0038226,             0.54334,             0.52186,              0.5156,             0.21661,            0.054044,           0.0093487,           0.0041173,           0.0094225,           0.0094225,           0.0094225
                   9,            0.043066,            0.016311,           0.0030781,             0.73514,             0.54444,             0.59045,             0.27496,            0.056247,           0.0090175,            0.010146,             0.00934,             0.00934,             0.00934
                  10,            0.042596,            0.016104,           0.0029716,             0.51705,             0.51405,             0.49391,             0.22174,            0.056785,           0.0097523,           0.0038299,           0.0092575,           0.0092575,           0.0092575
                  11,            0.041459,            0.015802,           0.0027026,             0.63087,             0.55111,             0.56247,             0.26214,            0.057966,           0.0091356,           0.0042995,            0.009175,            0.009175,            0.009175
                  12,            0.040829,            0.015929,           0.0026683,             0.66867,             0.56187,             0.55935,             0.25691,            0.055843,           0.0097389,           0.0067501,           0.0090925,           0.0090925,           0.0090925
                  13,            0.040389,            0.015819,           0.0027218,             0.68113,               0.573,             0.57408,             0.24084,             0.05707,           0.0087999,           0.0099141,             0.00901,             0.00901,             0.00901
                  14,            0.039909,            0.015538,           0.0026162,             0.69378,             0.54388,             0.60152,             0.28141,            0.054204,           0.0093641,           0.0043749,           0.0089275,           0.0089275,           0.0089275
                  15,            0.039164,            0.015538,           0.0020485,              0.6834,             0.60143,               0.635,             0.28761,            0.054307,           0.0088674,           0.0027895,            0.008845,            0.008845,            0.008845
                  16,            0.039146,            0.015075,            0.002039,             0.75181,             0.57278,             0.64199,              0.2862,            0.052254,           0.0090888,           0.0011231,           0.0087625,           0.0087625,           0.0087625
                  17,            0.039105,            0.015082,           0.0020485,             0.68604,             0.62333,             0.63298,              0.2478,            0.053821,           0.0085944,           0.0026103,             0.00868,             0.00868,             0.00868
                  18,             0.03858,            0.014752,           0.0023431,             0.66123,             0.61222,             0.62409,             0.27985,             0.05236,           0.0089788,            0.002206,           0.0085975,           0.0085975,           0.0085975
                  19,            0.037865,            0.014928,           0.0022023,             0.77247,             0.64211,             0.69951,             0.29741,            0.053238,           0.0082335,           0.0020632,            0.008515,            0.008515,            0.008515
                  20,            0.037659,            0.014682,           0.0021204,             0.63844,             0.62944,             0.65216,             0.31359,            0.054986,           0.0085414,           0.0055807,           0.0084325,           0.0084325,           0.0084325
                  21,            0.037893,            0.014395,           0.0019854,             0.68801,             0.56553,             0.61525,             0.30209,            0.052416,           0.0085862,           0.0046677,             0.00835,             0.00835,             0.00835
                  22,            0.036762,            0.014535,            0.001857,             0.71899,              0.6564,             0.68328,             0.31226,            0.053351,           0.0082781,           0.0060735,           0.0082675,           0.0082675,           0.0082675
                  23,            0.036904,            0.014414,             0.00169,             0.68636,             0.53167,             0.56282,             0.26017,             0.05466,           0.0091209,           0.0022997,            0.008185,            0.008185,            0.008185
                  24,            0.036745,            0.014298,           0.0020133,             0.68683,             0.62944,              0.6643,             0.30225,            0.052122,           0.0088429,            0.002871,           0.0081025,           0.0081025,           0.0081025
                  25,            0.036167,            0.014392,           0.0017152,             0.73698,             0.59058,             0.63563,             0.28359,            0.054686,           0.0084127,           0.0013015,             0.00802,             0.00802,             0.00802
                  26,            0.035446,            0.014112,           0.0017705,             0.67865,             0.61778,             0.63609,             0.28739,            0.054933,           0.0088518,           0.0036257,           0.0079375,           0.0079375,           0.0079375
                  27,            0.035645,            0.014121,           0.0015429,             0.66279,             0.61556,             0.61421,             0.29405,            0.053258,           0.0087341,           0.0016551,            0.007855,            0.007855,            0.007855
                  28,            0.035069,            0.014136,           0.0014267,             0.73031,             0.66458,             0.69854,             0.30587,            0.051247,           0.0085737,           0.0011089,           0.0077725,           0.0077725,           0.0077725
                  29,            0.035015,            0.013541,           0.0014234,             0.75333,             0.59396,              0.6578,             0.30623,            0.053117,           0.0088619,          0.00073929,             0.00769,             0.00769,             0.00769
                  30,             0.03514,            0.013799,           0.0016014,             0.72281,             0.63444,              0.6798,             0.30751,            0.050847,           0.0087415,           0.0038039,           0.0076075,           0.0076075,           0.0076075
                  31,             0.03441,            0.013698,           0.0012992,             0.74825,             0.61639,             0.69319,             0.31493,            0.051203,           0.0084359,           0.0014531,            0.007525,            0.007525,            0.007525
                  32,            0.034426,             0.01376,           0.0013075,             0.70705,              0.6016,             0.64048,             0.30947,            0.052948,           0.0088042,           0.0021067,           0.0074425,           0.0074425,           0.0074425
                  33,            0.034267,            0.013603,            0.001411,             0.63373,             0.66278,             0.65035,             0.30424,            0.053379,           0.0088814,           0.0025245,             0.00736,             0.00736,             0.00736
                  34,            0.034001,             0.01369,            0.001342,              0.7088,             0.55833,             0.64404,             0.30808,            0.052405,           0.0094973,           0.0025206,           0.0072775,           0.0072775,           0.0072775
                  35,            0.033879,            0.013579,           0.0012437,             0.73093,             0.61406,             0.66942,             0.31696,            0.053634,           0.0087633,           0.0014145,            0.007195,            0.007195,            0.007195
                  36,            0.033129,             0.01325,           0.0011928,             0.71062,              0.6562,             0.68324,             0.34604,            0.051178,           0.0080776,           0.0010566,           0.0071125,           0.0071125,           0.0071125
                  37,            0.033316,            0.013274,           0.0012824,             0.77191,              0.6757,              0.7467,             0.33985,             0.05087,           0.0085929,           0.0030231,             0.00703,             0.00703,             0.00703
                  38,            0.032759,            0.013105,           0.0011549,             0.73206,              0.5957,             0.66364,             0.31999,            0.052562,           0.0090202,           0.0019268,           0.0069475,           0.0069475,           0.0069475
                  39,            0.033294,            0.013098,           0.0012827,             0.71385,             0.62523,             0.67631,             0.32639,            0.053517,           0.0090044,           0.0014037,            0.006865,            0.006865,            0.006865
                  40,            0.033068,            0.013116,           0.0012687,             0.80109,             0.63112,             0.69858,             0.33095,            0.052407,           0.0089188,           0.0012673,           0.0067825,           0.0067825,           0.0067825
                  41,            0.032655,            0.012874,           0.0011623,             0.67338,             0.64333,             0.66423,             0.32379,            0.052146,           0.0086918,           0.0025773,              0.0067,              0.0067,              0.0067
                  42,            0.032339,            0.013061,           0.0012785,             0.75557,             0.63333,             0.67431,             0.32182,            0.053991,           0.0091516,           0.0017265,           0.0066175,           0.0066175,           0.0066175
                  43,            0.032514,            0.012984,           0.0010709,             0.70012,             0.61091,             0.65205,             0.30757,            0.053404,            0.008375,           0.0021227,            0.006535,            0.006535,            0.006535
                  44,            0.031997,            0.012917,           0.0011629,              0.6976,             0.63911,             0.67135,             0.33766,             0.05308,            0.008413,           0.0017841,           0.0064525,           0.0064525,           0.0064525
                  45,            0.031796,            0.012939,           0.0011476,             0.79173,             0.66056,             0.67466,             0.31339,            0.053385,           0.0086749,           0.0014995,             0.00637,             0.00637,             0.00637
                  46,            0.031447,            0.012764,           0.0010785,             0.76441,             0.62444,             0.70496,             0.34068,            0.051176,           0.0088693,           0.0010842,           0.0062875,           0.0062875,           0.0062875
                  47,             0.03127,            0.012722,           0.0010516,               0.798,             0.68058,             0.72322,             0.36032,            0.051753,           0.0085718,           0.0012439,            0.006205,            0.006205,            0.006205
                  48,            0.030853,            0.012474,           0.0010763,             0.82473,             0.60506,             0.70157,             0.33184,            0.050462,           0.0091664,           0.0010546,           0.0061225,           0.0061225,           0.0061225
                  49,            0.031325,             0.01261,           0.0010286,              0.7022,             0.66069,             0.67672,             0.33386,            0.051682,           0.0088544,           0.0026618,             0.00604,             0.00604,             0.00604
                  50,            0.031175,            0.012223,          0.00088257,             0.77717,             0.59753,             0.67377,             0.34329,            0.051673,           0.0087247,           0.0024795,           0.0059575,           0.0059575,           0.0059575
                  51,            0.030906,            0.012515,           0.0011331,             0.73045,             0.65146,             0.69464,             0.33353,            0.051981,           0.0088002,           0.0045299,            0.005875,            0.005875,            0.005875
                  52,             0.03083,            0.012585,          0.00094128,             0.78965,             0.64111,             0.72279,             0.33894,              0.0525,           0.0088247,           0.0043632,           0.0057925,           0.0057925,           0.0057925
